ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
NY-001,Albany County,New York,47.9,1.5,106,46.3
NY-003,Allegany County,New York,45,0.3,70,44.8
NY-005,Bronx County,New York,54.8,2.2,108,52.6
NY-007,Broome County,New York,46.5,0.8,92,45.7
NY-009,Cattaraugus County,New York,45,0.3,72,44.7
NY-011,Cayuga County,New York,47.1,1,96,46.1
NY-013,Chautauqua County,New York,46.4,0.5,79,45.9
NY-015,Chemung County,New York,46.5,0.6,83,45.9
NY-017,Chenango County,New York,45.5,1.1,100,44.4
NY-019,Clinton County,New York,43.2,1.4,104,41.8
NY-021,Columbia County,New York,48.9,1.8,108,47.1
NY-023,Cortland County,New York,45.2,1,97,44.2
NY-025,Delaware County,New York,45,1.2,103,43.8
NY-027,Dutchess County,New York,49.7,1.9,107,47.8
NY-029,Erie County,New York,47,0.8,90,46.2
NY-031,Essex County,New York,42.1,1.7,107,40.4
NY-033,Franklin County,New York,42.1,1.8,108,40.3
NY-035,Fulton County,New York,45.1,1.4,104,43.7
NY-037,Genesee County,New York,47.1,1.1,94,46
NY-039,Greene County,New York,46.7,1.6,108,45
NY-041,Hamilton County,New York,41.2,1.4,104,39.8
NY-043,Herkimer County,New York,43.3,1.5,105,41.8
NY-045,Jefferson County,New York,45.1,1.5,103,43.6
NY-047,Kings County,New York,55.1,2.1,108,53
NY-049,Lewis County,New York,42.6,1.3,103,41.3
NY-051,Livingston County,New York,47.2,0.9,91,46.3
NY-053,Madison County,New York,45.4,1.2,104,44.1
NY-055,Monroe County,New York,47.9,1.1,95,46.9
NY-057,Montgomery County,New York,47.1,1.2,102,45.9
NY-059,Nassau County,New York,54.2,2.3,109,51.9
NY-061,New York County,New York,55,2.1,108,52.9
NY-063,Niagara County,New York,48.1,1.1,98,47
NY-065,Oneida County,New York,45.4,1.3,104,44
NY-067,Onondaga County,New York,46.6,0.9,92,45.7
NY-069,Ontario County,New York,47.4,1.1,96,46.3
NY-071,Orange County,New York,49.7,1.8,106,47.9
NY-073,Orleans County,New York,47.7,1,93,46.6
NY-075,Oswego County,New York,46.1,1.1,98,44.9
NY-077,Otsego County,New York,45.2,1.2,104,44
NY-079,Putnam County,New York,50.1,1.8,107,48.3
NY-081,Queens County,New York,54.9,2.1,108,52.7
NY-083,Rensselaer County,New York,47.4,1.7,108,45.7
NY-085,Richmond County,New York,54.9,2.1,109,52.8
NY-087,Rockland County,New York,51.8,2.1,108,49.7
NY-089,St. Lawrence County,New York,43.7,1.8,106,41.8
NY-091,Saratoga County,New York,46.3,1.4,104,44.9
NY-093,Schenectady County,New York,47.3,1.3,104,45.9
NY-095,Schoharie County,New York,45.6,1.2,104,44.5
NY-097,Schuyler County,New York,46.3,0.8,86,45.5
NY-099,Seneca County,New York,48,1,96,47
NY-101,Steuben County,New York,45.7,0.5,79,45.2
NY-103,Suffolk County,New York,52.6,2.2,109,50.3
NY-105,Sullivan County,New York,46.5,1.3,100,45.2
NY-107,Tioga County,New York,46.5,0.7,85,45.8
NY-109,Tompkins County,New York,46.4,0.8,94,45.6
NY-111,Ulster County,New York,47.7,1.7,106,46
NY-113,Warren County,New York,43.8,1.5,105,42.3
NY-115,Washington County,New York,46.2,1.6,104,44.5
NY-117,Wayne County,New York,47.9,1.2,102,46.7
NY-119,Westchester County,New York,52,2,107,50
NY-121,Wyoming County,New York,45.5,0.8,85,44.7
NY-123,Yates County,New York,47.2,1,95,46.2
